"","Mock1","Mock2","Mock3","Control1","Control2","Control3","GW-Treated1","GW-Treated2","GW-Treated3"
"OXSR1",87.9134395223277,92.8489363338578,89.0557412568616,96.8553079854481,92.8354600240284,99.6494147653459,81.2397402497104,80.5333477077311,81.2394095919713
"OXTR",2.25759587897216,3.91291945978401,1.85532794285128,3.77536636371343,5.43654395009648,2.84712613615274,0.85892236387359,0.961182325582468,1.0680027553721
"P2RX2",0.663998787932988,1.19377203857817,1.39149595713846,0.137286049589579,2.01928775289298,0.584025874082613,0.930499227529722,4.53128810631735,0.356000918457368
"P2RX4",70.4502713996901,80.8448952792662,63.8762906038799,78.7335494396236,48.8253423327712,67.5279916908022,130.341468717817,129.759613953633,126.309125868674
"P2RY1",5.24559042467061,4.0455607974038,3.97570273468132,5.42279895878838,3.8314690695918,5.40223933526417,3.65042004646276,5.28650279070357,2.70560698027599
"P2RY11",4.91359103070411,5.83621885527106,7.55383519589451,5.56008500837796,6.62740595821285,5.4752425695245,7.30084009292551,7.00289980067227,5.48241414424346
"P2RY2",7.23758678846957,7.16263223146903,7.88514375711796,7.75666180181122,6.57562934916431,7.88434930011528,7.08610950195712,6.45365275748229,7.40481910391324
"P2RY4",1.46079733345257,1.45905471381777,1.12644910815971,1.23557444630621,1.0873087900193,0.43801940556196,1.00207609118585,1.37311760797495,1.78000459228684
"P2RY6",7.90158557640256,10.2797036655343,6.22860095100074,6.5897303802998,5.38476734104794,10.731475436268,4.65249613764861,4.94322338870984,5.48241414424346
"P3H1",92.5614310378586,94.8385563981548,105.819954454768,84.6368495719755,78.0791264451951,91.181039591148,83.0291618411137,81.2885623921173,78.8898035301526
"P3H2",60.2910899443153,65.3921794465599,77.3274181895517,82.2343437041579,46.5471715346356,89.7939781402018,45.2365778306757,32.4055755482089,52.0473342784671
"P3H3",57.4358951562035,57.9642645398512,61.292083826337,55.1889919350108,57.0578231714888,55.9934806776706,64.4907541541754,57.2590042525556,62.3001607300393
"P3H4",84.3278460674895,79.3195198966385,88.7244326956382,75.987828447832,84.1887663129226,82.6396611826898,66.4233294728909,69.3424392027352,72.8377879163774
"P4HA1",112.680594312228,94.705915060535,95.0192953588836,101.454390646699,96.0456097850378,103.664592649664,111.659907303567,102.846508837324,100.107458270212
"P4HA2",106.704605220831,108.898538185853,117.548277522078,110.515269919611,87.2953628558349,96.2182627551106,125.11635767092,117.607523123055,123.888319623164
"P4HB",1492.00527648542,1430.27154355427,1516.33302300746,1437.79679735166,1271.84062466828,1351.72788556421,2175.43561710083,1752.51000305843,1961.99226180224
"P4HTM",49.0695104282478,46.4907888357388,51.9491823998359,49.3543348274537,40.0233187945198,40.9548144200433,65.2065227907367,66.390236345589,61.0185574235928
"PA2G4",117.992584615692,106.046749427028,119.999960875131,101.523033671494,114.840518869657,97.8973371430981,81.5260477043349,85.0646358140484,91.278635492469
"PA2G4P4",0.398399272759793,0.0663206688098984,0.265046848978755,1.02964537192184,0.310659654291227,1.38706145094621,1.71784472774718,1.09849408637996,0.996802571680629
"PAAF1",13.1471760010732,11.2081930288728,11.7945847795546,11.2574560663455,15.8436423688526,11.5345110131316,12.8838354581038,16.2027877741045,15.8064407795071
"PABIR1",24.7007549111072,23.5438374275139,21.932626752992,25.123347074893,23.2994740718421,26.8651902078002,27.0560544620181,28.2175668438853,25.6320661289305
"PABIR2",27.3567500628391,25.6660988294307,25.7758060631839,23.2699854054337,28.6324648038415,24.0180640716475,23.5487881428676,23.8922463787642,20.7192534542188
"PABIR3",2.39039563655876,1.85697872667716,1.92158965509597,3.70672333891864,2.69238367052397,3.50415524449568,5.2966879105538,3.36413813953864,5.19761340947757
"PABPC1",778.870578245395,807.586784098133,845.565709954472,817.19521018197,767.070463054089,773.907286393723,966.573966812413,901.451709635558,891.924701103089
